nama_customer,simbol,bidang_perusahaan,pendapatan_tahunan,jumlah_karyawan,usia_perusahaan
Urban Jakarta,o,Developer,1200,300,10
Triyasa Propertindo,o,Developer,2100,355,7
Synthesis,o,Developer,1750,405,5
BTPN,o,Developer,3050,280,40
Supermall,x,Mall,4120,250,20
Jakarta Intiland,o,Developer,1100,110,15
Windas,s,Building Management,5004,400,17
Gamaland,s,Building Management,3800,250,18
FX,x,Mall,2050,150,5
Icon,o,Developer,3400,305,4
Alfaland,x,Mall,4100,515,12
Danamon,s,Building Management,1850,280,34
Energy,s,Building Management,1500,175,10
Jantra,o,Developer,2455,100,13
Pakubuwono,x,Mall,2150,265,12
Ramayana,x,Mall,7055,370,32
Waskita,s,Building Management,3580,290,27
